# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1,2,4,8,16,32,64,128,256,512,1024
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1,2.7263,3.1789,3.0723,4.1504,5.2390,128
bits,1,3.5603,3.8104,3.8555,4.4456,4.4658,128
# sink=0x0000000000000000
flat,2,2.9194,3.2982,3.2349,4.3640,6.0630,128
bits,2,3.7637,4.0286,4.0691,5.0354,5.3203,128
# sink=0x0000000000000000
flat,4,4.0383,4.3428,4.3132,5.4727,5.6863,128
bits,4,4.3232,4.5343,4.4250,5.7576,5.7883,128
# sink=0x0000000000000000
flat,8,5.0149,5.1386,5.0457,6.2458,6.7139,128
bits,8,4.1707,4.3658,4.3130,5.4932,5.6560,128
# sink=0x0000000000000000
flat,16,7.4058,7.5552,7.4768,8.8401,9.3181,128
bits,16,4.5979,4.7470,4.6592,6.0933,6.1340,128
# sink=0x0000000000000000
flat,32,11.6982,12.1512,11.9832,14.2212,14.5771,128
bits,32,5.3203,5.5327,5.4829,7.0293,7.0393,128
# sink=0x0000000000000000
flat,64,18.9919,20.3935,20.3757,23.9360,24.7905,128
bits,64,4.7913,5.1654,5.1677,6.5815,7.3650,128
# sink=0x0000000000000000
flat,128,40.1611,42.7778,43.1111,49.6624,50.0996,128
bits,128,5.1064,5.4501,5.4729,6.8665,7.2327,128
# sink=0x0000000000000000
flat,256,78.5115,85.2072,84.4016,99.3245,101.0947,128
bits,256,5.5645,6.2686,6.0933,9.2063,11.1592,128
# sink=0x0000000000000000
flat,512,143.1885,151.8957,153.6255,167.1040,170.3186,128
bits,512,6.0222,6.8832,6.8257,8.6162,9.6843,128
# sink=0x0000000000000000
flat,1024,272.2881,297.7835,295.4407,418.1721,455.9426,128
bits,1024,9.3384,10.4093,10.0708,17.3645,19.9482,128
# sink=0x0000000000000000
