# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1024,512,256,128,64,32,16,8,4,2,1
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1024,275.5940,307.6467,305.6030,372.8130,415.4153,128
bits,1024,9.5825,10.7682,10.5896,15.2283,23.3662,128
# sink=0x0000000000000000
flat,512,143.9717,161.3759,161.0515,184.7026,187.5205,128
bits,512,6.7444,8.2774,8.3313,10.2742,11.6780,128
# sink=0x0000000000000000
flat,256,77.5552,87.2173,86.0188,103.0784,125.1831,128
bits,256,5.5034,6.2567,5.9915,8.4431,9.0332,128
# sink=0x0000000000000000
flat,128,40.5173,44.6146,43.6606,53.0903,69.3665,128
bits,128,5.1780,5.7996,5.5847,8.4534,9.8469,128
# sink=0x0000000000000000
flat,64,20.3350,20.8104,20.4673,23.7224,23.7732,128
bits,64,5.1370,5.2614,5.1677,8.2192,8.2905,128
# sink=0x0000000000000000
flat,32,11.0066,12.4825,11.9832,16.3269,34.9529,128
bits,32,4.8928,5.4795,5.4727,6.9988,7.2327,128
# sink=0x0000000000000000
flat,16,6.6528,7.5107,7.2429,9.7961,22.0542,128
bits,16,4.3030,4.8920,4.8931,6.0322,6.2153,128
# sink=0x0000000000000000
flat,8,4.6997,5.1685,5.0862,6.5613,6.5918,128
bits,8,3.9570,4.4732,4.3335,5.6558,13.2852,128
# sink=0x0000000000000000
flat,4,3.7842,4.4022,4.3335,5.7473,17.3442,128
bits,4,3.9875,4.3704,4.3945,4.5676,5.2083,128
# sink=0x0000000000000000
flat,2,3.1638,3.4200,3.3467,4.2725,4.5776,128
bits,2,3.9673,4.1592,4.1096,5.0454,5.2185,128
# sink=0x0000000000000000
flat,1,2.8992,3.5192,3.2756,5.4221,5.5439,128
bits,1,3.7231,3.8499,3.8147,4.8828,4.9236,128
# sink=0x0000000000000000
