# orderbook_gap_bench - controlled best-delete gap sweep (linear re-scan vs hierarchical occupancy lookup)
# ladder per row: K+1=4097 ask levels g ticks apart (floor survives); every timed delete rescans exactly g slots
# gaps swept: 1,2,4,8,16,32,64,128,256,512,1024
# one block = fresh snapshot cold start (untimed) + 4096 best-deletes; 128 blocks per impl/gap; selected impls interleaved per block (same process, same clock)
# impl,gap_ticks,ns_per_delete_best,ns_per_delete_mean,p50,p99,max,blocks
flat,1,5.5032,8.9571,6.7852,23.0610,48.6553,128
bits,1,9.1248,13.6920,11.2405,28.3306,30.1006,128
# sink=0x0000000000000000
flat,2,2.8992,5.0195,4.2114,9.3181,12.8682,128
bits,2,3.6519,7.3132,6.1951,13.1633,14.6179,128
# sink=0x0000000000000000
flat,4,3.9163,4.3615,4.2725,5.8494,6.1848,128
bits,4,4.1401,4.5917,4.4656,6.2766,11.8916,128
# sink=0x0000000000000000
flat,8,4.8218,5.4672,5.1677,6.7852,19.7041,128
bits,8,3.9978,4.5515,4.3945,7.3040,8.7075,128
# sink=0x0000000000000000
flat,16,6.9885,8.2293,8.3721,12.3188,13.4990,128
bits,16,4.3843,4.8483,4.7710,6.2051,6.7952,128
# sink=0x0000000000000000
flat,32,10.9150,12.3162,11.9731,16.9678,38.3301,128
bits,32,4.9641,5.5520,5.4219,10.1013,10.3557,128
# sink=0x0000000000000000
flat,64,18.9106,20.8447,20.6096,26.2554,29.8157,128
bits,64,4.8013,5.3456,5.1982,10.6099,11.3525,128
# sink=0x0000000000000000
flat,128,39.8762,43.5447,43.0095,51.3816,60.4553,128
bits,128,5.1169,5.9296,5.5542,8.7788,9.1960,128
# sink=0x0000000000000000
flat,256,78.6743,88.6979,87.5854,142.7407,183.5227,128
bits,256,5.4524,6.7040,6.1748,13.5601,16.9373,128
# sink=0x0000000000000000
flat,512,143.6462,160.4058,158.1318,194.6309,199.7883,128
bits,512,6.3679,8.3474,8.3313,12.4106,13.0513,128
# sink=0x0000000000000000
flat,1024,272.8577,306.8100,301.8696,404.8665,415.6697,128
bits,1024,9.6233,10.8079,10.3149,16.5405,27.0996,128
# sink=0x0000000000000000
