# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from the percentile
# distribution in the summary).
# impl=map wl=A levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
0,512,315625,616.455078
1,512,220833,431.314453
2,512,197667,386.068359
3,512,191292,373.617188
4,512,194167,379.232422
5,512,180083,351.724609
6,512,179500,350.585938
7,512,176083,343.912109
8,512,167417,326.986328
9,512,173583,339.029297
10,512,164292,320.882812
11,512,168250,328.613281
12,512,161666,315.753906
13,512,170417,332.845703
14,512,182458,356.363281
15,512,188334,367.839844
16,512,185042,361.410156
17,512,183917,359.212891
18,512,170083,332.193359
19,512,162041,316.486328
20,512,155917,304.525391
21,512,166083,324.380859
22,512,173959,339.763672
23,512,184000,359.375000
24,512,203875,398.193359
25,512,210709,411.541016
26,512,210791,411.701172
27,512,200250,391.113281
28,512,171167,334.310547
29,512,157125,306.884766
30,512,167500,327.148438
31,512,160291,313.068359
32,512,156042,304.769531
33,512,152750,298.339844
34,512,143083,279.458984
35,512,164416,321.125000
36,512,147958,288.980469
37,512,146959,287.029297
38,512,143458,280.191406
39,512,154041,300.861328
40,512,142667,278.646484
41,512,142292,277.914062
42,512,142833,278.970703
43,512,135000,263.671875
44,512,138458,270.425781
45,512,153709,300.212891
46,512,150041,293.048828
47,512,158375,309.326172
48,512,195500,381.835938
49,512,251292,490.804688
50,512,165875,323.974609
51,512,164459,321.208984
52,512,144875,282.958984
53,512,163875,320.068359
54,512,125500,245.117188
55,512,125083,244.302734
56,512,124083,242.349609
57,512,123875,241.943359
58,512,123708,241.617188
59,512,121459,237.224609
60,512,119833,234.048828
61,512,119000,232.421875
62,512,121625,237.548828
63,512,119833,234.048828
64,512,122542,239.339844
65,512,121333,236.978516
66,512,117084,228.679688
67,512,139583,272.623047
68,512,153792,300.375000
69,512,166250,324.707031
70,512,202709,395.916016
71,512,138916,271.320312
72,512,160292,313.070312
73,512,150250,293.457031
74,512,133209,260.173828
75,512,131333,256.509766
76,512,125792,245.687500
77,512,131541,256.916016
78,512,120625,235.595703
79,512,123667,241.537109
80,512,116791,228.107422
81,512,125375,244.873047
82,512,125000,244.140625
83,512,122167,238.607422
84,512,118708,231.851562
85,512,116375,227.294922
86,512,116250,227.050781
87,512,124292,242.757812
88,512,122333,238.931641
89,512,118208,230.875000
90,512,112167,219.076172
91,512,117458,229.410156
92,512,112542,219.808594
93,512,119416,233.234375
94,512,119084,232.585938
95,512,115791,226.154297
96,512,113459,221.599609
97,512,110875,216.552734
98,512,108833,212.564453
99,512,110000,214.843750
100,512,114125,222.900391
101,512,109625,214.111328
102,512,114333,223.306641
103,512,119667,233.724609
104,512,111250,217.285156
105,512,111083,216.958984
106,512,110292,215.414062
107,512,111834,218.425781
108,512,111625,218.017578
109,512,111334,217.449219
110,512,118541,231.525391
111,512,110667,216.146484
112,512,111458,217.691406
113,512,102834,200.847656
114,512,108667,212.240234
115,512,110208,215.250000
116,512,107000,208.984375
117,512,104250,203.613281
118,512,111667,218.099609
119,512,105541,206.134766
120,512,107334,209.636719
121,512,110291,215.412109
122,512,107292,209.554688
123,512,106292,207.601562
124,512,105875,206.787109
125,512,109041,212.970703
126,512,105333,205.728516
127,512,106292,207.601562
128,512,104875,204.833984
129,512,239500,467.773438
130,512,237417,463.705078
131,512,223250,436.035156
132,512,226916,443.195312
133,512,253042,494.222656
134,512,244875,478.271484
135,512,227292,443.929688
136,512,214166,418.292969
137,512,228709,446.697266
138,512,223084,435.710938
139,512,226708,442.789062
140,512,207333,404.947266
141,512,194667,380.208984
142,512,180750,353.027344
143,512,190750,372.558594
144,512,185666,362.628906
145,512,184125,359.619141
146,512,172458,336.832031
147,512,177750,347.167969
148,512,171458,334.878906
149,512,169417,330.892578
150,512,176458,344.644531
151,512,160208,312.906250
152,512,169208,330.484375
153,512,163958,320.230469
154,512,168709,329.509766
155,512,168416,328.937500
156,512,169417,330.892578
157,512,171625,335.205078
158,512,163458,319.253906
159,512,171292,334.554688
160,512,168458,329.019531
161,512,161666,315.753906
162,512,170292,332.601562
163,512,162792,317.953125
164,512,160125,312.744141
165,512,159416,311.359375
166,512,170792,333.578125
167,512,165208,322.671875
168,512,152292,297.445312
169,512,168542,329.183594
170,512,158750,310.058594
171,512,165500,323.242188
172,512,184208,359.781250
173,512,181542,354.574219
174,512,166958,326.089844
175,512,188500,368.164062
176,512,175500,342.773438
177,512,190417,371.908203
178,512,184833,361.001953
179,512,192875,376.708984
180,512,163667,319.662109
181,512,169417,330.892578
182,512,163958,320.230469
183,512,180208,351.968750
184,512,165125,322.509766
185,512,166583,325.357422
186,512,176125,343.994141
187,512,174334,340.496094
188,512,160875,314.208984
189,512,163541,319.416016
190,512,163250,318.847656
191,512,157333,307.291016
192,512,162834,318.035156
193,512,161166,314.777344
194,512,158167,308.919922
195,512,161333,315.103516
196,512,154375,301.513672
197,512,167625,327.392578
198,512,147917,288.900391
199,512,152291,297.443359
200,512,132583,258.951172
201,512,152959,298.748047
202,512,150250,293.457031
203,512,149167,291.341797
204,512,150542,294.027344
205,512,145917,284.994141
206,512,156083,304.849609
207,512,150125,293.212891
208,512,158167,308.919922
209,512,148500,290.039062
210,512,145375,283.935547
211,512,149042,291.097656
212,512,141125,275.634766
213,512,161416,315.265625
214,512,149042,291.097656
215,512,150667,294.271484
216,512,140958,275.308594
217,512,147417,287.923828
218,512,152625,298.095703
219,512,148250,289.550781
220,512,136542,266.683594
221,512,146750,286.621094
222,512,139083,271.646484
223,512,138208,269.937500
224,512,146167,285.482422
225,512,148625,290.283203
226,512,141958,277.261719
227,512,163333,319.009766
228,512,150709,294.353516
229,512,154208,301.187500
230,512,157291,307.208984
231,512,137708,268.960938
232,512,141042,275.472656
233,512,165291,322.833984
234,512,168917,329.916016
235,512,181917,355.306641
236,512,192208,375.406250
237,512,176917,345.541016
238,512,181333,354.166016
239,512,170334,332.683594
240,512,164959,322.185547
241,512,159333,311.197266
