# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from the percentile
# distribution in the summary).
# impl=map wl=C levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
0,512,57959,113.201172
1,512,43208,84.390625
2,512,58334,113.933594
3,512,43416,84.796875
4,512,39792,77.718750
5,512,40166,78.449219
6,512,40834,79.753906
7,512,38250,74.707031
8,512,41209,80.486328
9,512,41000,80.078125
10,512,39292,76.742188
11,512,37667,73.568359
12,512,38750,75.683594
13,512,36709,71.697266
14,512,39042,76.253906
15,512,38000,74.218750
16,512,37666,73.566406
17,512,43042,84.066406
18,512,38708,75.601562
19,512,38208,74.625000
20,512,38584,75.359375
21,512,37250,72.753906
22,512,39084,76.335938
23,512,40791,79.669922
24,512,38209,74.626953
25,512,37416,73.078125
26,512,37667,73.568359
27,512,39083,76.333984
28,512,40125,78.369141
29,512,37834,73.894531
30,512,38083,74.380859
31,512,36917,72.103516
32,512,38917,76.009766
33,512,37583,73.404297
34,512,39583,77.310547
35,512,37709,73.650391
36,512,36375,71.044922
37,512,35500,69.335938
38,512,36917,72.103516
39,512,36333,70.962891
40,512,37208,72.671875
41,512,37500,73.242188
42,512,36750,71.777344
43,512,35792,69.906250
44,512,39083,76.333984
45,512,36625,71.533203
46,512,37666,73.566406
47,512,36167,70.638672
48,512,37375,72.998047
49,512,36500,71.289062
50,512,37375,72.998047
51,512,37292,72.835938
52,512,35666,69.660156
53,512,36083,70.474609
54,512,37083,72.427734
55,512,37292,72.835938
56,512,36250,70.800781
57,512,36750,71.777344
58,512,38542,75.277344
59,512,36333,70.962891
60,512,36000,70.312500
61,512,41208,80.484375
62,512,38125,74.462891
63,512,36667,71.615234
64,512,35375,69.091797
65,512,35709,69.744141
66,512,40500,79.101562
67,512,37417,73.080078
68,512,35458,69.253906
69,512,35667,69.662109
70,512,35541,69.416016
71,512,35750,69.824219
72,512,37083,72.427734
73,512,36375,71.044922
74,512,36958,72.183594
75,512,38375,74.951172
76,512,40083,78.287109
77,512,43750,85.449219
78,512,38125,74.462891
79,512,37458,73.160156
80,512,37625,73.486328
81,512,37541,73.322266
82,512,39792,77.718750
83,512,38583,75.357422
84,512,38292,74.789062
85,512,36916,72.101562
86,512,37834,73.894531
87,512,37625,73.486328
88,512,37834,73.894531
89,512,36208,70.718750
90,512,91125,177.978516
91,512,39583,77.310547
92,512,39583,77.310547
93,512,41917,81.869141
94,512,42375,82.763672
95,512,37000,72.265625
96,512,39084,76.335938
97,512,35791,69.904297
98,512,37459,73.162109
99,512,39041,76.251953
100,512,37250,72.753906
101,512,35542,69.417969
102,512,46833,91.470703
103,512,35875,70.068359
104,512,35416,69.171875
105,512,35542,69.417969
106,512,36083,70.474609
107,512,35792,69.906250
108,512,34458,67.300781
109,512,34375,67.138672
110,512,33500,65.429688
111,512,34875,68.115234
112,512,36041,70.392578
113,512,33667,65.755859
114,512,34667,67.708984
115,512,35000,68.359375
116,512,34084,66.570312
117,512,38666,75.519531
118,512,42875,83.740234
119,512,36250,70.800781
120,512,46750,91.308594
121,512,48291,94.318359
122,512,40250,78.613281
123,512,35250,68.847656
124,512,35792,69.906250
125,512,37958,74.136719
126,512,35917,70.150391
127,512,34458,67.300781
128,512,33666,65.753906
129,512,33958,66.324219
130,512,46125,90.087891
131,512,39792,77.718750
132,512,35583,69.498047
133,512,35000,68.359375
134,512,35375,69.091797
135,512,35667,69.662109
136,512,35458,69.253906
137,512,35625,69.580078
138,512,37458,73.160156
139,512,35875,70.068359
140,512,36791,71.857422
141,512,47125,92.041016
142,512,36625,71.533203
143,512,40833,79.751953
144,512,47416,92.609375
145,512,41084,80.242188
146,512,34791,67.951172
147,512,37875,73.974609
148,512,47167,92.123047
149,512,47916,93.585938
150,512,37125,72.509766
151,512,36959,72.185547
152,512,39084,76.335938
153,512,38459,75.115234
154,512,38333,74.869141
155,512,37750,73.730469
156,512,37916,74.054688
157,512,37125,72.509766
158,512,37167,72.591797
159,512,37500,73.242188
160,512,37250,72.753906
161,512,48458,94.644531
162,512,41208,80.484375
163,512,45375,88.623047
164,512,42542,83.089844
165,512,48291,94.318359
166,512,42292,82.601562
167,512,37166,72.589844
168,512,34792,67.953125
169,512,45875,89.599609
170,512,39875,77.880859
171,512,35708,69.742188
172,512,44542,86.996094
173,512,41166,80.402344
174,512,36458,71.207031
175,512,35334,69.011719
176,512,35041,68.439453
177,512,35375,69.091797
178,512,47125,92.041016
179,512,39208,76.578125
180,512,35459,69.255859
181,512,36125,70.556641
182,512,36250,70.800781
183,512,34917,68.197266
184,512,36500,71.289062
185,512,36292,70.882812
186,512,35292,68.929688
187,512,35958,70.230469
188,512,39333,76.822266
189,512,36125,70.556641
190,512,34916,68.195312
191,512,36292,70.882812
192,512,36917,72.103516
193,512,36208,70.718750
194,512,35334,69.011719
195,512,45250,88.378906
196,512,48375,94.482422
197,512,45667,89.193359
198,512,44375,86.669922
199,512,38875,75.927734
200,512,39542,77.230469
201,512,45750,89.355469
202,512,37791,73.810547
203,512,35834,69.988281
204,512,37500,73.242188
205,512,37250,72.753906
206,512,37542,73.324219
207,512,48792,95.296875
208,512,40791,79.669922
209,512,40709,79.509766
210,512,40750,79.589844
211,512,51125,99.853516
212,512,42500,83.007812
213,512,37958,74.136719
214,512,37792,73.812500
215,512,43833,85.611328
216,512,39625,77.392578
217,512,39000,76.171875
218,512,40209,78.533203
219,512,37750,73.730469
220,512,38125,74.462891
221,512,40125,78.369141
222,512,39709,77.556641
223,512,46000,89.843750
224,512,38083,74.380859
225,512,38583,75.357422
226,512,37667,73.568359
227,512,37291,72.833984
228,512,40167,78.451172
229,512,39709,77.556641
230,512,38375,74.951172
231,512,44042,86.019531
232,512,39000,76.171875
233,512,38083,74.380859
234,512,39084,76.335938
235,512,36167,70.638672
236,512,37500,73.242188
237,512,37625,73.486328
238,512,37750,73.730469
239,512,36166,70.636719
240,512,41458,80.972656
241,512,49459,96.599609
242,512,37000,72.265625
243,512,36834,71.941406
244,512,38250,74.707031
245,512,36375,71.044922
246,512,35833,69.986328
247,512,36541,71.369141
248,512,38292,74.789062
249,512,37833,73.892578
250,512,36584,71.453125
251,512,36084,70.476562
252,512,38250,74.707031
253,512,37917,74.056641
254,512,36792,71.859375
255,512,38166,74.542969
256,512,37917,74.056641
257,512,39583,77.310547
258,512,38833,75.845703
259,512,39125,76.416016
260,512,38250,74.707031
261,512,38417,75.033203
262,512,36875,72.021484
263,512,38791,75.763672
264,512,37000,72.265625
265,512,36042,70.394531
266,512,38083,74.380859
267,512,38875,75.927734
268,512,38042,74.300781
269,512,37958,74.136719
270,512,37416,73.078125
271,512,39375,76.904297
272,512,36917,72.103516
273,512,37750,73.730469
274,512,37333,72.916016
275,512,39166,76.496094
276,512,37458,73.160156
277,512,36917,72.103516
278,512,36750,71.777344
279,512,35875,70.068359
280,512,37250,72.753906
281,512,36291,70.880859
282,512,39709,77.556641
283,512,37500,73.242188
284,512,38125,74.462891
285,512,38583,75.357422
286,512,38291,74.787109
287,512,37292,72.835938
288,512,39542,77.230469
289,512,37083,72.427734
