# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from the percentile
# distribution in the summary).
# impl=flat wl=A levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
0,512,2500,4.882812
1,512,2375,4.638672
2,512,2125,4.150391
3,512,2167,4.232422
4,512,2459,4.802734
5,512,3834,7.488281
6,512,2167,4.232422
7,512,2167,4.232422
8,512,2167,4.232422
9,512,2208,4.312500
10,512,2209,4.314453
11,512,5875,11.474609
12,512,2209,4.314453
13,512,2125,4.150391
14,512,2250,4.394531
15,512,2292,4.476562
16,512,2083,4.068359
17,512,2334,4.558594
18,512,4459,8.708984
19,512,2084,4.070312
20,512,2125,4.150391
21,512,2209,4.314453
22,512,2125,4.150391
23,512,2083,4.068359
24,512,4625,9.033203
25,512,2166,4.230469
26,512,2084,4.070312
27,512,2166,4.230469
28,512,2084,4.070312
29,512,2042,3.988281
30,512,2083,4.068359
31,512,5042,9.847656
32,512,2042,3.988281
33,512,2125,4.150391
34,512,2125,4.150391
35,512,2125,4.150391
36,512,2041,3.986328
37,512,2167,4.232422
38,512,4208,8.218750
39,512,2125,4.150391
40,512,2125,4.150391
41,512,2083,4.068359
42,512,2042,3.988281
43,512,2000,3.906250
44,512,2125,4.150391
45,512,4833,9.439453
46,512,2083,4.068359
47,512,2125,4.150391
48,512,2041,3.986328
49,512,2084,4.070312
50,512,2125,4.150391
51,512,4250,8.300781
52,512,2084,4.070312
53,512,2250,4.394531
54,512,2125,4.150391
55,512,2042,3.988281
56,512,2083,4.068359
57,512,2125,4.150391
58,512,4959,9.685547
59,512,2042,3.988281
60,512,2125,4.150391
61,512,2167,4.232422
62,512,2042,3.988281
63,512,2041,3.986328
64,512,5375,10.498047
65,512,2042,3.988281
66,512,2042,3.988281
67,512,1958,3.824219
68,512,1958,3.824219
69,512,2041,3.986328
70,512,2167,4.232422
71,512,2083,4.068359
72,512,2583,5.044922
73,512,2042,3.988281
74,512,2083,4.068359
75,512,1958,3.824219
76,512,2042,3.988281
77,512,2000,3.906250
78,512,2166,4.230469
79,512,2167,4.232422
80,512,3167,6.185547
81,512,2042,3.988281
82,512,1958,3.824219
83,512,1959,3.826172
84,512,1917,3.744141
85,512,2166,4.230469
86,512,2125,4.150391
87,512,2417,4.720703
88,512,2125,4.150391
89,512,2125,4.150391
90,512,2125,4.150391
91,512,2125,4.150391
92,512,2083,4.068359
93,512,2083,4.068359
94,512,4583,8.951172
95,512,2042,3.988281
96,512,2041,3.986328
97,512,2042,3.988281
98,512,2041,3.986328
99,512,2083,4.068359
100,512,2125,4.150391
101,512,2125,4.150391
102,512,2250,4.394531
103,512,2000,3.906250
104,512,2041,3.986328
105,512,2125,4.150391
106,512,2083,4.068359
107,512,2042,3.988281
108,512,2250,4.394531
109,512,3292,6.429688
110,512,1958,3.824219
111,512,2083,4.068359
112,512,2084,4.070312
113,512,2000,3.906250
114,512,2000,3.906250
115,512,2166,4.230469
116,512,2084,4.070312
117,512,1959,3.826172
118,512,2041,3.986328
119,512,2042,3.988281
120,512,2041,3.986328
121,512,2125,4.150391
122,512,2084,4.070312
123,512,2125,4.150391
124,512,2084,4.070312
125,512,2250,4.394531
126,512,2041,3.986328
127,512,2042,3.988281
128,512,2166,4.230469
129,512,1958,3.824219
130,512,1958,3.824219
131,512,2125,4.150391
132,512,2042,3.988281
133,512,1958,3.824219
134,512,2000,3.906250
135,512,1958,3.824219
136,512,1875,3.662109
137,512,1958,3.824219
138,512,2042,3.988281
139,512,2041,3.986328
