# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from every distribution
# metric in the summary).
# impl=flat wl=C levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
0,512,3375,6.591797
1,512,3250,6.347656
2,512,3292,6.429688
3,512,3125,6.103516
4,512,3125,6.103516
5,512,3166,6.183594
6,512,3209,6.267578
7,512,3167,6.185547
8,512,3125,6.103516
9,512,3125,6.103516
10,512,3083,6.021484
11,512,3083,6.021484
12,512,3084,6.023438
13,512,3250,6.347656
14,512,3167,6.185547
15,512,3042,5.941406
16,512,3208,6.265625
17,512,3125,6.103516
18,512,3000,5.859375
19,512,3167,6.185547
20,512,3250,6.347656
21,512,3208,6.265625
22,512,3042,5.941406
23,512,3084,6.023438
24,512,3083,6.021484
25,512,3125,6.103516
26,512,3166,6.183594
27,512,3000,5.859375
28,512,3042,5.941406
29,512,3042,5.941406
30,512,3083,6.021484
31,512,3208,6.265625
32,512,3167,6.185547
33,512,3041,5.939453
34,512,3000,5.859375
35,512,3250,6.347656
36,512,3084,6.023438
37,512,3084,6.023438
38,512,3042,5.941406
39,512,3125,6.103516
40,512,3166,6.183594
41,512,3208,6.265625
42,512,3209,6.267578
43,512,3166,6.183594
44,512,3083,6.021484
45,512,3125,6.103516
46,512,3000,5.859375
47,512,3167,6.185547
48,512,3042,5.941406
49,512,3041,5.939453
50,512,3000,5.859375
51,512,3083,6.021484
52,512,3125,6.103516
53,512,3125,6.103516
54,512,3083,6.021484
55,512,3125,6.103516
56,512,3083,6.021484
57,512,3208,6.265625
58,512,3000,5.859375
59,512,3125,6.103516
60,512,3000,5.859375
61,512,3042,5.941406
62,512,3042,5.941406
63,512,3042,5.941406
64,512,3084,6.023438
65,512,3000,5.859375
66,512,3000,5.859375
67,512,3125,6.103516
68,512,3250,6.347656
69,512,3125,6.103516
70,512,3167,6.185547
71,512,3167,6.185547
72,512,3084,6.023438
73,512,3000,5.859375
74,512,3042,5.941406
75,512,3125,6.103516
76,512,3125,6.103516
77,512,3000,5.859375
78,512,3125,6.103516
79,512,3125,6.103516
80,512,3209,6.267578
81,512,3166,6.183594
