# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from every distribution
# metric in the summary).
# impl=map wl=A levels=1000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
0,512,17416,34.015625
1,512,17500,34.179688
2,512,16625,32.470703
3,512,16708,32.632812
4,512,16834,32.878906
5,512,16500,32.226562
6,512,15917,31.087891
7,512,16750,32.714844
8,512,16458,32.144531
9,512,16625,32.470703
10,512,16375,31.982422
11,512,16083,31.412109
12,512,16208,31.656250
13,512,16250,31.738281
14,512,15625,30.517578
15,512,15500,30.273438
16,512,16084,31.414062
17,512,16583,32.388672
18,512,16458,32.144531
19,512,15917,31.087891
20,512,16542,32.308594
21,512,16667,32.552734
22,512,16667,32.552734
23,512,16708,32.632812
24,512,16625,32.470703
25,512,16875,32.958984
26,512,16292,31.820312
27,512,17041,33.283203
28,512,17125,33.447266
29,512,16916,33.039062
30,512,16458,32.144531
31,512,16917,33.041016
32,512,16375,31.982422
33,512,17375,33.935547
34,512,16500,32.226562
35,512,16875,32.958984
36,512,16834,32.878906
37,512,16291,31.818359
38,512,17000,33.203125
39,512,16000,31.250000
40,512,17000,33.203125
41,512,16667,32.552734
42,512,16667,32.552734
43,512,16958,33.121094
44,512,15958,31.167969
45,512,16333,31.900391
46,512,16708,32.632812
47,512,16500,32.226562
48,512,16500,32.226562
49,512,16417,32.064453
50,512,16125,31.494141
51,512,19209,37.517578
52,512,18833,36.783203
53,512,16750,32.714844
54,512,17625,34.423828
55,512,17500,34.179688
56,512,16375,31.982422
57,512,16709,32.634766
58,512,17042,33.285156
59,512,17333,33.853516
60,512,16417,32.064453
61,512,17625,34.423828
62,512,16542,32.308594
63,512,17750,34.667969
64,512,17166,33.527344
65,512,16750,32.714844
66,512,16375,31.982422
67,512,15875,31.005859
68,512,16667,32.552734
69,512,16833,32.876953
70,512,17625,34.423828
71,512,17250,33.691406
72,512,17000,33.203125
73,512,16041,31.330078
74,512,17375,33.935547
75,512,16458,32.144531
76,512,16833,32.876953
77,512,17084,33.367188
78,512,16541,32.306641
79,512,16584,32.390625
80,512,17041,33.283203
81,512,17167,33.529297
82,512,17500,34.179688
83,512,17375,33.935547
84,512,17000,33.203125
85,512,16541,32.306641
86,512,17417,34.017578
87,512,38834,75.847656
88,512,24625,48.095703
89,512,23250,45.410156
90,512,18417,35.970703
91,512,17791,34.748047
92,512,18334,35.808594
93,512,17791,34.748047
94,512,18958,37.027344
95,512,18542,36.214844
96,512,17750,34.667969
97,512,17959,35.076172
98,512,18250,35.644531
99,512,17708,34.585938
100,512,17459,34.099609
101,512,18333,35.806641
102,512,17792,34.750000
103,512,17833,34.830078
104,512,18417,35.970703
105,512,18125,35.400391
106,512,18625,36.376953
107,512,17792,34.750000
108,512,18709,36.541016
109,512,18166,35.480469
110,512,18209,35.564453
111,512,17750,34.667969
112,512,18250,35.644531
113,512,18958,37.027344
114,512,18125,35.400391
115,512,18000,35.156250
116,512,17417,34.017578
117,512,18125,35.400391
118,512,17958,35.074219
119,512,17709,34.587891
120,512,18291,35.724609
121,512,18167,35.482422
122,512,18583,36.294922
123,512,17750,34.667969
124,512,17667,34.505859
125,512,19125,37.353516
126,512,20750,40.527344
127,512,17875,34.912109
128,512,17875,34.912109
129,512,18209,35.564453
130,512,18209,35.564453
131,512,19041,37.189453
132,512,17917,34.994141
133,512,18291,35.724609
134,512,18417,35.970703
135,512,17958,35.074219
136,512,18333,35.806641
137,512,18167,35.482422
138,512,18625,36.376953
139,512,18875,36.865234
140,512,18958,37.027344
141,512,18583,36.294922
142,512,18667,36.458984
143,512,18708,36.539062
144,512,18417,35.970703
145,512,18666,36.457031
146,512,19125,37.353516
147,512,18584,36.296875
148,512,18292,35.726562
149,512,18333,35.806641
150,512,18417,35.970703
151,512,17417,34.017578
152,512,18375,35.888672
153,512,17875,34.912109
154,512,17750,34.667969
155,512,18458,36.050781
156,512,17875,34.912109
157,512,17917,34.994141
158,512,18125,35.400391
159,512,18125,35.400391
160,512,18292,35.726562
161,512,18500,36.132812
162,512,18292,35.726562
163,512,18166,35.480469
164,512,18000,35.156250
165,512,18042,35.238281
166,512,18000,35.156250
167,512,17625,34.423828
168,512,17500,34.179688
169,512,17834,34.832031
170,512,17666,34.503906
171,512,17250,33.691406
172,512,17458,34.097656
173,512,17333,33.853516
174,512,17792,34.750000
175,512,17667,34.505859
176,512,18416,35.968750
177,512,16708,32.632812
178,512,17417,34.017578
179,512,17750,34.667969
180,512,17542,34.261719
181,512,18583,36.294922
182,512,18125,35.400391
183,512,17708,34.585938
184,512,18125,35.400391
185,512,18417,35.970703
186,512,18167,35.482422
187,512,17542,34.261719
188,512,17959,35.076172
189,512,18208,35.562500
190,512,18292,35.726562
191,512,18667,36.458984
192,512,17833,34.830078
193,512,17667,34.505859
194,512,18083,35.318359
195,512,17583,34.341797
196,512,18333,35.806641
197,512,17250,33.691406
198,512,18250,35.644531
199,512,17917,34.994141
200,512,18334,35.808594
201,512,18584,36.296875
202,512,17625,34.423828
203,512,17750,34.667969
204,512,17708,34.585938
205,512,18083,35.318359
206,512,18167,35.482422
207,512,17791,34.748047
208,512,17959,35.076172
209,512,17791,34.748047
210,512,21375,41.748047
211,512,17917,34.994141
212,512,18833,36.783203
213,512,18208,35.562500
214,512,18291,35.724609
215,512,17792,34.750000
216,512,18958,37.027344
217,512,18167,35.482422
218,512,18250,35.644531
219,512,18166,35.480469
220,512,18000,35.156250
221,512,18833,36.783203
222,512,18042,35.238281
223,512,18166,35.480469
224,512,18375,35.888672
225,512,18333,35.806641
226,512,18250,35.644531
227,512,18167,35.482422
228,512,17916,34.992188
229,512,17792,34.750000
230,512,17375,33.935547
231,512,17625,34.423828
232,512,17792,34.750000
233,512,17917,34.994141
234,512,18041,35.236328
235,512,17500,34.179688
236,512,17750,34.667969
237,512,17750,34.667969
238,512,17708,34.585938
239,512,17917,34.994141
240,512,17250,33.691406
241,512,17916,34.992188
242,512,18250,35.644531
243,512,17875,34.912109
244,512,17208,33.609375
245,512,17708,34.585938
246,512,17792,34.750000
247,512,18208,35.562500
248,512,22084,43.132812
249,512,19584,38.250000
250,512,22583,44.107422
251,512,18583,36.294922
252,512,18208,35.562500
253,512,18542,36.214844
254,512,18833,36.783203
255,512,17792,34.750000
256,512,18417,35.970703
257,512,18041,35.236328
258,512,17875,34.912109
259,512,18167,35.482422
260,512,18041,35.236328
261,512,18750,36.621094
262,512,17750,34.667969
263,512,17792,34.750000
264,512,18375,35.888672
265,512,18250,35.644531
266,512,17833,34.830078
267,512,18500,36.132812
268,512,18041,35.236328
269,512,18500,36.132812
270,512,17750,34.667969
271,512,17834,34.832031
272,512,17666,34.503906
273,512,17917,34.994141
274,512,17541,34.259766
275,512,17334,33.855469
276,512,18042,35.238281
277,512,17542,34.261719
278,512,17500,34.179688
279,512,17916,34.992188
280,512,18167,35.482422
281,512,17625,34.423828
282,512,17208,33.609375
283,512,17500,34.179688
284,512,17708,34.585938
285,512,17667,34.505859
286,512,18166,35.480469
287,512,20500,40.039062
288,512,17958,35.074219
289,512,18209,35.564453
290,512,17500,34.179688
291,512,18000,35.156250
292,512,17834,34.832031
293,512,18125,35.400391
294,512,18416,35.968750
295,512,18000,35.156250
296,512,18625,36.376953
297,512,18500,36.132812
298,512,17584,34.343750
299,512,18459,36.052734
300,512,17416,34.015625
301,512,18417,35.970703
302,512,18250,35.644531
303,512,18166,35.480469
304,512,17750,34.667969
305,512,18500,36.132812
306,512,18000,35.156250
307,512,18084,35.320312
308,512,18417,35.970703
309,512,17833,34.830078
310,512,17334,33.855469
311,512,18041,35.236328
312,512,17667,34.505859
313,512,29708,58.023438
314,512,23167,45.248047
315,512,19500,38.085938
316,512,18291,35.724609
317,512,19417,37.923828
318,512,18625,36.376953
319,512,18583,36.294922
320,512,18792,36.703125
321,512,17791,34.748047
322,512,18042,35.238281
323,512,18500,36.132812
324,512,19333,37.759766
325,512,17875,34.912109
326,512,17167,33.529297
327,512,17917,34.994141
328,512,18292,35.726562
329,512,18166,35.480469
330,512,17834,34.832031
331,512,18125,35.400391
332,512,17959,35.076172
333,512,17250,33.691406
334,512,17334,33.855469
335,512,18625,36.376953
336,512,17916,34.992188
337,512,21959,42.888672
338,512,21750,42.480469
339,512,18500,36.132812
340,512,18625,36.376953
341,512,18750,36.621094
342,512,18958,37.027344
343,512,18833,36.783203
344,512,19375,37.841797
345,512,18125,35.400391
