# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from every distribution
# metric in the summary).
# impl=map wl=C levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
0,512,46541,90.900391
1,512,39709,77.556641
2,512,43333,84.634766
3,512,42125,82.275391
4,512,38750,75.683594
5,512,38583,75.357422
6,512,39167,76.498047
7,512,37750,73.730469
8,512,39542,77.230469
9,512,40125,78.369141
10,512,38584,75.359375
11,512,36250,70.800781
12,512,36500,71.289062
13,512,35458,69.253906
14,512,37125,72.509766
15,512,37375,72.998047
16,512,35917,70.150391
17,512,40292,78.695312
18,512,37500,73.242188
19,512,37250,72.753906
20,512,36916,72.101562
21,512,35917,70.150391
22,512,37500,73.242188
23,512,38708,75.601562
24,512,37000,72.265625
25,512,35791,69.904297
26,512,36292,70.882812
27,512,37250,72.753906
28,512,37166,72.589844
29,512,36167,70.638672
30,512,36250,70.800781
31,512,35583,69.498047
32,512,37292,72.835938
33,512,36000,70.312500
34,512,38000,74.218750
35,512,36083,70.474609
36,512,35833,69.986328
37,512,34917,68.197266
38,512,36375,71.044922
39,512,35458,69.253906
40,512,35333,69.009766
41,512,36000,70.312500
42,512,36625,71.533203
43,512,35292,68.929688
44,512,37625,73.486328
45,512,35625,69.580078
46,512,36625,71.533203
47,512,34625,67.626953
48,512,36208,70.718750
49,512,35791,69.904297
50,512,36375,71.044922
51,512,36375,71.044922
52,512,34292,66.976562
53,512,35041,68.439453
54,512,35917,70.150391
55,512,36000,70.312500
56,512,35042,68.441406
57,512,35625,69.580078
58,512,37833,73.892578
59,512,36250,70.800781
60,512,35875,70.068359
61,512,39833,77.798828
62,512,37250,72.753906
63,512,35584,69.500000
64,512,34125,66.650391
65,512,35250,68.847656
66,512,34541,67.462891
67,512,36458,71.207031
68,512,34792,67.953125
69,512,35875,70.068359
70,512,34750,67.871094
71,512,34917,68.197266
72,512,35584,69.500000
73,512,35625,69.580078
74,512,37292,72.835938
75,512,37500,73.242188
76,512,39292,76.742188
77,512,39708,77.554688
78,512,38583,75.357422
79,512,37833,73.892578
80,512,39792,77.718750
81,512,36875,72.021484
82,512,39209,76.580078
83,512,37917,74.056641
84,512,38417,75.033203
85,512,37458,73.160156
86,512,37917,74.056641
87,512,37916,74.054688
88,512,38625,75.439453
89,512,37666,73.566406
90,512,36833,71.939453
91,512,36625,71.533203
92,512,37875,73.974609
93,512,37000,72.265625
94,512,37875,73.974609
95,512,37000,72.265625
96,512,37791,73.810547
97,512,35667,69.662109
98,512,37583,73.404297
99,512,37916,74.054688
100,512,37625,73.486328
101,512,36292,70.882812
102,512,36166,70.636719
103,512,37292,72.835938
104,512,36000,70.312500
105,512,36459,71.208984
106,512,37875,73.974609
107,512,36708,71.695312
108,512,35541,69.416016
109,512,35833,69.986328
110,512,35042,68.441406
111,512,36666,71.613281
112,512,37208,72.671875
113,512,35084,68.523438
114,512,35792,69.906250
115,512,36042,70.394531
116,512,35916,70.148438
117,512,34125,66.650391
118,512,37333,72.916016
119,512,35584,69.500000
120,512,35375,69.091797
121,512,36334,70.964844
122,512,35459,69.255859
123,512,36750,71.777344
124,512,36834,71.941406
125,512,39209,76.580078
126,512,34750,67.871094
127,512,36125,70.556641
128,512,35125,68.603516
129,512,36167,70.638672
130,512,36375,71.044922
131,512,39750,77.636719
