# Phase 4 raw batch samples. batch-normalized ns/update = elapsed_ns / batch_operations (a batch average, NOT a directly
# measured single-update latency). batch_operations is the ACTUAL op count of the batch: batch_size for every row except
# the final row when updates % batch_size is nonzero (a partial batch, which is EXCLUDED from every distribution
# metric in the summary).
# impl=map wl=E levels=1000000 updates=10000000 batch_size=512 seed=407715774446 partial_rows=1
sample_index,batch_operations,elapsed_ns,normalized_ns_per_update
0,512,425167,830.404297
1,512,353709,690.837891
2,512,345125,674.072266
3,512,316958,619.058594
4,512,282250,551.269531
5,512,325708,636.148438
6,512,295500,577.148438
7,512,323542,631.917969
8,512,311542,608.480469
9,512,279750,546.386719
10,512,299792,585.531250
11,512,286750,560.058594
12,512,310875,607.177734
13,512,328000,640.625000
14,512,272625,532.470703
15,512,290292,566.976562
16,512,265125,517.822266
17,512,268542,524.496094
18,512,291291,568.927734
19,512,281875,550.537109
20,512,265250,518.066406
21,512,259500,506.835938
22,512,254875,497.802734
23,512,257334,502.605469
24,512,264958,517.496094
25,512,239458,467.691406
26,512,257125,502.197266
27,512,256458,500.894531
28,512,270583,528.482422
29,512,256667,501.302734
30,512,241041,470.783203
31,512,241125,470.947266
32,512,241125,470.947266
33,512,245917,480.306641
34,512,228417,446.126953
35,512,234209,457.439453
36,512,233583,456.216797
37,512,236625,462.158203
38,512,221917,433.431641
39,512,234708,458.414062
40,512,223458,436.441406
41,512,222541,434.650391
42,512,230250,449.707031
43,512,223542,436.605469
44,512,223458,436.441406
45,512,222000,433.593750
46,512,227417,444.173828
47,512,222958,435.464844
48,512,232500,454.101562
49,512,224000,437.500000
50,512,218041,425.861328
51,512,208750,407.714844
52,512,219792,429.281250
53,512,207875,406.005859
54,512,213583,417.154297
55,512,224292,438.070312
56,512,230292,449.789062
57,512,211833,413.736328
58,512,236750,462.402344
59,512,203000,396.484375
60,512,222542,434.652344
61,512,226458,442.300781
62,512,227916,445.148438
63,512,210125,410.400391
64,512,233042,455.160156
65,512,205958,402.261719
66,512,214042,418.050781
67,512,220459,430.583984
68,512,245750,479.980469
69,512,234375,457.763672
70,512,200792,392.171875
71,512,211084,412.273438
72,512,217750,425.292969
73,512,219459,428.630859
74,512,195875,382.568359
75,512,232459,454.021484
76,512,200667,391.927734
77,512,202708,395.914062
78,512,217459,424.724609
79,512,212916,415.851562
80,512,203084,396.648438
81,512,197291,385.333984
82,512,215125,420.166016
83,512,202209,394.939453
84,512,210000,410.156250
85,512,208833,407.876953
86,512,210750,411.621094
87,512,202542,395.589844
88,512,183708,358.804688
89,512,212667,415.365234
90,512,193208,377.359375
91,512,209250,408.691406
92,512,202541,395.587891
93,512,187417,366.048828
94,512,194875,380.615234
95,512,199500,389.648438
96,512,202667,395.833984
97,512,185291,361.896484
98,512,212125,414.306641
99,512,205875,402.099609
100,512,225500,440.429688
101,512,208250,406.738281
102,512,202333,395.181641
103,512,186584,364.421875
104,512,189875,370.849609
105,512,195500,381.835938
106,512,208500,407.226562
107,512,204334,399.089844
108,512,189625,370.361328
109,512,201459,393.474609
110,512,208709,407.634766
111,512,205708,401.773438
112,512,205458,401.285156
113,512,185084,361.492188
114,512,201709,393.962891
115,512,218666,427.082031
116,512,210875,411.865234
117,512,228792,446.859375
118,512,192375,375.732422
119,512,183500,358.398438
120,512,200333,391.275391
121,512,188791,368.732422
122,512,211500,413.085938
123,512,174833,341.470703
124,512,203834,398.113281
125,512,182041,355.548828
126,512,193167,377.279297
127,512,199833,390.298828
128,512,199917,390.462891
129,512,190792,372.640625
130,512,179750,351.074219
131,512,199750,390.136719
132,512,193250,377.441406
133,512,191583,374.185547
134,512,181042,353.597656
135,512,187875,366.943359
136,512,175833,343.423828
137,512,216541,422.931641
138,512,181792,355.062500
139,512,190417,371.908203
140,512,185584,362.468750
141,512,188083,367.349609
142,512,214083,418.130859
143,512,205333,401.041016
144,512,199125,388.916016
145,512,183291,357.990234
146,512,181459,354.412109
147,512,196000,382.812500
148,512,195125,381.103516
149,512,193000,376.953125
150,512,190500,372.070312
151,512,182541,356.525391
152,512,184292,359.945312
153,512,200250,391.113281
154,512,179291,350.177734
155,512,196959,384.685547
156,512,185708,362.710938
157,512,179458,350.503906
158,512,175709,343.181641
159,512,187708,366.617188
160,512,192750,376.464844
161,512,197000,384.765625
162,512,202708,395.914062
163,512,194417,379.720703
164,512,192417,375.814453
165,512,198500,387.695312
166,512,214125,418.212891
167,512,195500,381.835938
168,512,190166,371.417969
169,512,215625,421.142578
170,512,203875,398.193359
171,512,217000,423.828125
172,512,217959,425.701172
173,512,212041,414.142578
174,512,200042,390.707031
175,512,200958,392.496094
176,512,196292,383.382812
177,512,177500,346.679688
178,512,189208,369.546875
179,512,191042,373.128906
180,512,212292,414.632812
181,512,189583,370.279297
182,512,186291,363.849609
183,512,192709,376.384766
184,512,197875,386.474609
185,512,231833,452.798828
186,512,189041,369.220703
187,512,172167,336.263672
188,512,183542,358.480469
189,512,198666,388.019531
190,512,189584,370.281250
191,512,200708,392.007812
192,512,182583,356.607422
193,512,182833,357.095703
194,512,196625,384.033203
195,512,195958,382.730469
196,512,178875,349.365234
197,512,184834,361.003906
198,512,181666,354.816406
199,512,189209,369.548828
200,512,185584,362.468750
201,512,183583,358.560547
202,512,197167,385.091797
203,512,176333,344.400391
204,512,198458,387.613281
205,512,187875,366.943359
206,512,178708,349.039062
207,512,185333,361.978516
208,512,184417,360.189453
209,512,183625,358.642578
210,512,188000,367.187500
211,512,183208,357.828125
212,512,177250,346.191406
213,512,167334,326.824219
214,512,186208,363.687500
215,512,181125,353.759766
216,512,180291,352.130859
217,512,174292,340.414062
218,512,187583,366.373047
219,512,186167,363.607422
220,512,185583,362.466797
221,512,192083,375.162109
222,512,196542,383.871094
223,512,178541,348.712891
224,512,191500,374.023438
225,512,173917,339.681641
226,512,176417,344.564453
227,512,190750,372.558594
228,512,181208,353.921875
229,512,179000,349.609375
230,512,191500,374.023438
231,512,183375,358.154297
232,512,170250,332.519531
233,512,184916,361.164062
234,512,192000,375.000000
235,512,185625,362.548828
236,512,185958,363.199219
237,512,180167,351.888672
238,512,187417,366.048828
239,512,172667,337.240234
240,512,183500,358.398438
241,512,175584,342.937500
242,512,170000,332.031250
243,512,187375,365.966797
244,512,185500,362.304688
245,512,176875,345.458984
246,512,172041,336.017578
247,512,202875,396.240234
248,512,178750,349.121094
249,512,181500,354.492188
250,512,170958,333.902344
251,512,170542,333.089844
252,512,179000,349.609375
253,512,176792,345.296875
254,512,178208,348.062500
255,512,170084,332.195312
256,512,183708,358.804688
257,512,182541,356.525391
258,512,160459,313.396484
259,512,194291,379.474609
260,512,186292,363.851562
261,512,167708,327.554688
262,512,175250,342.285156
263,512,174417,340.658203
264,512,165875,323.974609
265,512,164708,321.695312
266,512,170958,333.902344
267,512,182000,355.468750
268,512,163958,320.230469
269,512,177417,346.517578
270,512,171709,335.369141
271,512,177125,345.947266
272,512,175500,342.773438
273,512,179042,349.691406
274,512,177500,346.679688
275,512,174167,340.169922
276,512,178959,349.529297
277,512,161791,315.998047
278,512,175708,343.179688
279,512,170209,332.439453
280,512,169292,330.648438
281,512,178250,348.144531
282,512,174458,340.738281
283,512,173333,338.541016
284,512,178583,348.794922
285,512,171833,335.611328
286,512,171708,335.367188
287,512,163042,318.441406
288,512,174208,340.250000
289,512,178750,349.121094
290,512,183542,358.480469
291,512,172958,337.808594
292,512,174875,341.552734
293,512,165708,323.648438
