# orderbook_bench - deterministic steady-state apply() throughput
# domain [1, 2N]; N live levels/side; fill untimed; best of 3 reps; 2000000 steady ops per block
# impl,wl,scale_n,updates,best_ms,best_ns_per_update,best_updates_per_s
map,A,1000,2000000,64.913,32.456,30810509
map,B,1000,2000000,72.294,36.147,27664797
map,C,1000,2000000,85.565,42.783,23373929
map,D,1000,2000000,66.199,33.099,30212051
map,E,1000,2000000,123.272,61.636,16224235
map,A,10000,2000000,121.593,60.796,16448360
map,B,10000,2000000,144.683,72.341,13823328
map,C,10000,2000000,96.270,48.135,20774940
map,D,10000,2000000,98.310,49.155,20343871
map,E,10000,2000000,269.712,134.856,7415310
map,A,100000,2000000,170.144,85.072,11754755
map,B,100000,2000000,319.442,159.721,6260920
map,C,100000,2000000,122.029,61.015,16389513
map,D,100000,2000000,208.349,104.174,9599290
map,E,100000,2000000,1004.642,502.321,1990758
map,A,1000000,2000000,365.429,182.714,5473024
map,B,1000000,2000000,363.095,181.548,5508195
map,C,1000000,2000000,141.102,70.551,14174177
map,D,1000000,2000000,256.271,128.136,7804230
map,E,1000000,2000000,767.099,383.549,2607226
flat,A,1000,2000000,8.869,4.435,225495032
flat,B,1000,2000000,8.899,4.450,224739100
flat,C,1000,2000000,11.849,5.924,168796556
flat,D,1000,2000000,9.354,4.677,213808478
flat,E,1000,2000000,10.182,5.091,196421842
flat,A,10000,2000000,8.607,4.304,232365627
flat,B,10000,2000000,9.076,4.538,220350273
flat,C,10000,2000000,12.234,6.117,163476598
flat,D,10000,2000000,9.029,4.514,221508473
flat,E,10000,2000000,9.952,4.976,200962106
flat,A,100000,2000000,8.774,4.387,227936463
flat,B,100000,2000000,8.923,4.462,224133584
flat,C,100000,2000000,12.139,6.069,164758217
flat,D,100000,2000000,8.935,4.468,223836732
flat,E,100000,2000000,10.059,5.030,198819509
flat,A,1000000,2000000,8.654,4.327,231094745
flat,B,1000000,2000000,9.055,4.527,220883618
flat,C,1000000,2000000,11.825,5.912,169139157
flat,D,1000000,2000000,9.062,4.531,220712987
flat,E,1000000,2000000,10.197,5.098,196136926
