# Experiment 02 Phase 3A — canonical cursor-placement matrix
# DERIVED from the raw per-repetition CSVs in raw/, one row per cell.
# ns_per_message is END-TO-END elapsed_ns / messages delivered: it is NOT a
# per-try_push or per-try_pop latency and NOT a one-way handoff time.
# Each cell pools the measured repetitions of 4 separate processes,
# each of which ran exactly one cursor layout, in a balanced AB/BA order.
# WARNING: pooled repetitions are NOT independent placements — each process
# contributes 5 correlated repetitions. This is a SECONDARY descriptive
# view; paired_summary.csv is the primary comparison.
# message_count=10000000 reps_per_process=5 sessions=4 warmup_reps=1
# UTC: 2026-09-12T03:13:48Z
impl,message_bytes,capacity,message_count,pooled_reps,cell,median_ns_per_message,min_ns_per_message,max_ns_per_message,spread_pct,median_messages_per_second,producer_full_retries_total,consumer_empty_retries_total,correctness
same_line,8,1024,10000000,20,same_line_b8_c1024,50.276873,42.035467,62.011483,47.522,19889860.692,481931840,58984438,PASS
separated,8,1024,10000000,20,separated_b8_c1024,12.849425,7.961887,19.945754,150.515,77824494.092,11134899,185312340,PASS
same_line,8,4096,10000000,20,same_line_b8_c4096,39.393923,29.073642,48.041229,65.240,25384625.949,268970743,11644984,PASS
separated,8,4096,10000000,20,separated_b8_c4096,12.539331,8.560762,16.298475,90.386,79749067.963,1746560,206752753,PASS
same_line,8,65536,10000000,20,same_line_b8_c65536,33.616941,27.075525,44.790171,65.427,29746906.035,156344345,2028555,PASS
separated,8,65536,10000000,20,separated_b8_c65536,12.783183,8.015063,15.112917,88.556,78227777.855,298656,226458677,PASS
same_line,32,1024,10000000,20,same_line_b32_c1024,30.209577,25.896792,42.363179,63.585,33102085.474,33879537,527367103,PASS
separated,32,1024,10000000,20,separated_b32_c1024,29.174946,21.218158,34.704412,63.560,34275984.607,8039307,479367382,PASS
same_line,32,4096,10000000,20,same_line_b32_c4096,24.768867,22.378908,33.276562,48.696,40373264.558,45799658,121009133,PASS
separated,32,4096,10000000,20,separated_b32_c4096,35.963912,30.880562,40.305413,30.520,27805651.012,197021,1160772794,PASS
same_line,32,65536,10000000,20,same_line_b32_c65536,22.110734,16.317788,32.885017,101.529,45226903.033,10266712,22943523,PASS
separated,32,65536,10000000,20,separated_b32_c65536,24.123679,12.063621,50.365183,317.496,41453047.025,1033981,1059557524,PASS
same_line,64,1024,10000000,20,same_line_b64_c1024,35.397579,25.520338,44.614225,74.818,28250519.619,24241169,448224874,PASS
separated,64,1024,10000000,20,separated_b64_c1024,32.678875,29.772550,38.143083,28.115,30600808.626,4008663,527642774,PASS
same_line,64,4096,10000000,20,same_line_b64_c4096,24.545742,17.959942,43.414792,141.731,40740263.627,26001980,8156713,PASS
separated,64,4096,10000000,20,separated_b64_c4096,15.002006,12.081942,22.650938,87.478,66657752.303,8895422,57945194,PASS
same_line,64,65536,10000000,20,same_line_b64_c65536,26.326096,22.248758,34.169421,53.579,37985123.202,16875466,2149708,PASS
separated,64,65536,10000000,20,separated_b64_c65536,15.326596,12.561296,22.205658,76.778,65246059.856,5317326,50484985,PASS
