# Experiment 02 Phase 3B — DERIVED attempt-normalized mechanism metrics.
# DERIVED, not measured: every number below is computed from mechanism/raw/*.csv.
# No raw CSV was edited, and no new measurement was taken.
# producer_attempts = message_count + producer_full_retries
# consumer_attempts = message_count + consumer_empty_retries
# loads_per_attempt = remote_loads / attempts   (the PRIMARY mechanism metric)
# loads_per_message = remote_loads / message_count  (SECONDARY: conflates refresh rate with retry volume)
# identity, exact by construction: loads/message = loads/attempt * attempts/message
# baseline loads_per_attempt is exactly 1 by construction; that is a check on this derivation, not a result.
# NOTE ON PRECISION: the floating-point columns are printed to 9 decimal places, so the identities
# hold to the printed precision, not bit-exactly. The residual is pure print rounding and is worst
# (1.97e-05 relative) for the two tiny values on the order of 2e-05, where 9 dp leaves 4 significant
# digits. The integer columns (attempts, remote loads, message_count) are exact, not rounded.
message_bytes,capacity,impl,reps,message_count_per_rep,producer_attempts,consumer_attempts,producer_remote_tail_loads,consumer_remote_head_loads,producer_loads_per_attempt,consumer_loads_per_attempt,producer_loads_per_attempt_min,producer_loads_per_attempt_max,consumer_loads_per_attempt_min,consumer_loads_per_attempt_max,producer_refresh_pct,consumer_refresh_pct,producer_loads_per_message,consumer_loads_per_message,producer_attempts_per_message,consumer_attempts_per_message
8,1024,baseline,3,10000000,46353397,97021272,46353397,97021272,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,1.545113233,3.234042400,1.545113233,3.234042400
8,1024,cached,3,10000000,32064415,193852493,2662516,184507872,0.083036475,0.951795198,0.012287730,0.116204399,0.948852130,0.955454685,8.30365,95.17952,0.088750533,6.150262400,1.068813833,6.461749767
8,4096,baseline,3,10000000,30851725,90345087,30851725,90345087,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,1.028390833,3.011502900,1.028390833,3.011502900
8,4096,cached,3,10000000,30431918,229209715,538408,222776285,0.017692214,0.971932123,0.000515970,0.046328429,0.967931961,0.975233909,1.76922,97.19321,0.017946933,7.425876167,1.014397267,7.640323833
8,65536,baseline,3,10000000,31966439,82997389,31966439,82997389,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,1.065547967,2.766579633,1.065547967,2.766579633
8,65536,cached,3,10000000,30000000,344415701,456,342416970,0.000015200,0.994196748,0.000015200,0.000015200,0.992814864,0.995153569,0.00152,99.41967,0.000015200,11.413899000,1.000000000,11.480523367
32,1024,baseline,3,10000000,30240679,321408313,30240679,321408313,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,1.008022633,10.713610433,1.008022633,10.713610433
32,1024,cached,3,10000000,37946726,242429889,10226969,232939827,0.269508600,0.960854406,0.216408236,0.348432146,0.956969733,0.963902142,26.95086,96.08544,0.340898967,7.764660900,1.264890867,8.080996300
32,4096,baseline,3,10000000,30021884,364186255,30021884,364186255,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,1.000729467,12.139541833,1.000729467,12.139541833
32,4096,cached,3,10000000,30183762,309725416,237211,307306074,0.007858894,0.992188752,0.000247000,0.022105173,0.991477313,0.993031809,0.78589,99.21888,0.007907033,10.243535800,1.006125400,10.324180533
32,65536,baseline,3,10000000,30007168,444628934,30007168,444628934,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,1.000238933,14.820964467,1.000238933,14.820964467
32,65536,cached,3,10000000,30000000,481292751,456,479647739,0.000015200,0.996582097,0.000015200,0.000015200,0.996437154,0.996671536,0.00152,99.65821,0.000015200,15.988257967,1.000000000,16.043091700
64,1024,baseline,3,10000000,69563843,37395698,69563843,37395698,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,2.318794767,1.246523267,2.318794767,1.246523267
64,1024,cached,3,10000000,190506617,30002918,187241776,32351,0.982862322,0.001078262,0.982434588,0.983523867,0.000980500,0.001166085,98.28623,0.10783,6.241392533,0.001078367,6.350220567,1.000097267
64,4096,baseline,3,10000000,59911914,35709203,59911914,35709203,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,1.997063800,1.190306767,1.997063800,1.190306767
64,4096,cached,3,10000000,186432819,30000978,184641105,8319,0.990389493,0.000277291,0.988728310,0.991780709,0.000244500,0.000342467,99.03895,0.02773,6.154703500,0.000277300,6.214427300,1.000032600
64,65536,baseline,3,10000000,60819455,30000079,60819455,30000079,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,100.00000,100.00000,2.027315167,1.000002633,2.027315167,1.000002633
64,65536,cached,3,10000000,183470211,30000141,180835106,668,0.985637423,0.000022267,0.984644470,0.987534960,0.000015500,0.000035599,98.56374,0.00223,6.027836867,0.000022267,6.115673700,1.000004700
