# Experiment 02 Phase 3B — per-process summary, ALL measured repetitions pooled
# DERIVED from raw/, never re-measured. PRIMARY comparison is PAIRED_COMPARISON.md.
# ns_per_message mean is over every measured repetition of that process;
# median/min/max are the process's own summary values, re-verified against raw/.
# producer_full_retries / consumer_empty_retries are recorded because this cell
# shape is bimodal on the development host: they reveal WHICH REGIME a process
# ran in. A process with a huge consumer_empty_retries is one where the consumer
# spun on an empty queue rather than blocking on real handoffs.
# measurement_mode=performance for every row here; remote loads are 0 by construction.
session,impl,message_bytes,capacity,object_size,payload_offset,median_ns_per_message,min_ns_per_message,max_ns_per_message,spread_pct,producer_full_retries_total,consumer_empty_retries_total,aspect_ratio
1,baseline,8,1024,8448,256,46.130529,23.606892,52.021471,120.366,5856560,366746364,0.0160
1,cached,8,1024,8448,256,48.974521,46.356825,55.176404,19.025,14743845,290735398,0.0507
1,baseline,8,4096,33024,256,23.473658,20.055325,25.511850,27.207,809584,148448729,0.0055
1,cached,8,4096,33024,256,54.584617,51.278167,57.705954,12.535,375299,365733712,0.0010
1,baseline,8,65536,524544,256,59.871571,56.962208,68.601525,20.433,0,735118265,0.0000
1,cached,8,65536,524544,256,64.659671,62.949337,69.413117,10.268,6364877,521519946,0.0122
1,baseline,32,1024,33024,256,54.782050,32.379875,57.831425,78.603,1594822,513340209,0.0031
1,cached,32,1024,33024,256,49.424254,47.808342,55.640675,16.383,9117086,451547421,0.0202
1,baseline,32,4096,131328,256,61.296771,55.487867,65.841292,18.659,1472592,775504174,0.0019
1,cached,32,4096,131328,256,60.547737,56.287533,61.739667,9.686,824530,577077913,0.0014
1,baseline,32,65536,2097408,256,68.979671,67.448229,75.213700,11.513,0,1037583427,0.0000
1,cached,32,65536,2097408,256,76.261271,74.001921,80.858638,9.266,49355,881692712,0.0001
1,baseline,64,1024,65792,256,54.940583,53.043821,59.777154,12.694,251699278,42713044,5.8928
1,cached,64,1024,65792,256,67.299892,65.727108,73.954787,12.518,271500544,116573,2329.0174
