# Experiment 02 Phase 4 — DERIVED per-repetition tail ratios (median across reps).
cell,session,p99_over_p50,p999_over_p50,max_over_p50
b16_c1024,1,625.0000,716.7738,966.2619
b16_c1024,2,425.0000,514.3360,748.3360
b16_c1024,3,428.0000,500.6640,691.6640
b16_c1024,4,622.0238,767.3571,5000.3360
b16_c4096,1,1056.3280,1424.0000,1589.6640
b16_c4096,2,1290.6640,1554.0000,1641.6640
b16_c4096,3,1169.3360,1573.3280,1809.3360
b16_c4096,4,1124.3360,1644.3280,1920.3360
b16_c65536,1,1.7752,1.8623,1.8730
b16_c65536,2,1.8297,1.8558,1.8669
b16_c65536,3,1.8355,1.8903,1.8951
b16_c65536,4,1.8602,1.9016,1.9119
b32_c1024,1,456.3280,1276.0000,15840.6720
b32_c1024,2,425.6640,609.6720,4796.6640
b32_c1024,3,286.6720,449.0000,726.6720
b32_c1024,4,367.5595,518.3360,694.3360
b32_c4096,1,7.1409,10.9729,40.7588
b32_c4096,2,5.0034,5.1908,5.4488
b32_c4096,3,23.0015,24.6858,25.6738
b32_c4096,4,34.7854,37.0335,38.8347
b32_c65536,1,2.1064,2.2091,2.2341
b32_c65536,2,2.2172,2.4224,2.4309
b32_c65536,3,2.1353,2.2239,2.2420
b32_c65536,4,2.3323,2.4291,2.4379
b64_c1024,1,624.6640,679.6640,784.6640
b64_c1024,2,5.7869,9.7723,346.8904
b64_c1024,3,316.6640,742.6720,2012.3929
b64_c1024,4,634.6720,686.0000,1078.3810
b64_c4096,1,2.4689,2.6248,2.7620
b64_c4096,2,2.3603,2.5268,2.6937
b64_c4096,3,2.3694,2.6905,4.1126
b64_c4096,4,2.3420,2.4724,2.7244
b64_c65536,1,2.2980,2.3266,2.3327
b64_c65536,2,2.2113,2.2417,2.2657
b64_c65536,3,2.1553,2.2128,2.2169
b64_c65536,4,2.1640,2.2055,2.2139
