# Experiment 02 Phase 4 — TIMER CALIBRATION (descriptive only).
# Back-to-back std::chrono::steady_clock::now() pairs, taken OUTSIDE the timed transfer.
# This is NOT subtracted from any measured latency and is NOT a correction factor.
# It measures the timer's own scale, not the queue's cost.
# clock=steady_clock steady=1 ns_per_tick=1
# samples=200000 min_ns=0 mean_ns=15.286 p50_ns=0 p90_ns=42 p99_ns=42 p999_ns=42 max_ns=8125
pair_index,pair_cost_ns
0,42
1,41
2,0
3,0
4,0
5,41
6,0
7,0
8,42
9,41
10,0
11,0
12,42
13,0
14,0
15,0
16,42
17,0
18,0
19,42
20,42
21,0
22,0
23,42
24,0
25,0
26,0
27,42
28,0
29,0
30,41
31,42
32,0
33,0
34,41
35,42
36,0
37,0
38,41
39,0
40,0
41,0
42,41
43,0
44,0
45,42
46,41
47,0
48,0
49,42
50,0
51,0
52,0
53,42
54,0
55,0
56,42
57,42
58,0
59,0
60,42
61,0
62,0
63,0
64,42
65,0
66,0
67,41
68,42
69,0
70,0
71,41
72,0
73,0
74,0
75,41
76,0
77,0
78,42
79,41
80,0
81,0
82,42
83,0
84,0
85,0
86,42
87,0
88,0
89,42
90,42
91,0
92,0
93,42
94,0
95,0
96,0
97,42
98,0
99,0
100,41
101,42
102,0
103,0
104,41
105,0
106,0
107,0
108,41
109,0
110,0
111,42
112,41
113,0
114,0
115,42
116,41
117,0
118,0
119,42
120,0
121,0
122,0
123,42
124,0
125,0
126,42
127,42
128,0
129,0
130,42
131,0
132,0
133,0
134,42
135,0
136,0
137,41
138,42
139,0
140,0
141,41
142,0
143,0
144,0
145,41
146,0
147,0
148,42
149,41
150,0
151,0
152,42
153,0
154,0
155,0
156,42
157,0
158,0
159,42
160,42
161,0
162,0
163,42
164,0
165,0
166,0
167,42
168,0
169,0
170,41
171,42
172,0
173,0
174,41
175,0
176,0
177,0
178,41
179,0
180,0
181,42
182,41
183,0
184,0
185,42
186,41
187,0
188,0
189,42
190,0
191,0
192,0
193,42
194,0
195,0
196,42
197,42
198,0
199,0
200,42
201,0
202,0
203,0
204,42
205,0
206,0
207,41
208,42
209,0
210,0
211,41
212,0
213,0
214,0
215,41
216,0
217,0
218,42
219,41
220,0
221,0
222,42
223,0
224,0
225,0
226,42
227,0
228,0
229,42
230,42
231,0
232,0
233,42
234,0
235,0
236,0
237,42
238,0
239,0
240,41
241,42
242,0
243,0
244,41
245,0
246,0
247,0
248,41
249,0
250,0
251,42
252,41
253,0
254,0
255,42
256,0
257,0
258,0
259,42
260,0
261,0
262,0
263,42
264,0
265,0
266,42
267,42
268,0
269,0
270,42
271,0
272,0
273,0
274,42
