"# Experiment 02 Phase 4 — DERIVED, PRIMARY per-cell summary."
# blocked_median = median of the 4 SESSION medians (repetition -> median of 5 -> median of 4). THIS IS THE PRIMARY FIGURE.
# min_session_median / max_session_median bound the spread the blocked median sits inside.
"# secondary_all20_median = median across all 20 repetition-level statistics. DIAGNOSTIC ONLY: it weights repetitions equally where the blocked median weights sessions equally, so the two are NOT the same quantity and must never be presented as one."
# NO distribution is pooled. See scripts/analyze-spsc-tail.py.
cell,metric,n_sessions,n_reps,blocked_median,min_session_median,max_session_median,session_spread,secondary_all20_median,all20_spread
b16_c1024,p50_ns,4,20,125,125,125,1.0000,125,1.0000
b16_c1024,p90_ns,4,20,167,167,167,1.0000,167,2.4970
b16_c1024,p99_ns,4,20,437,334,833,2.4940,417,66.1058
b16_c1024,p999_ns,4,20,5896,2166,10583,4.8860,7000,444.5000
b16_c1024,max_ns,4,20,79062,10542,148292,14.0668,49750,19271.4918
b16_c1024,mean_ns,4,20,160.551,138.647,231.019,1.6662,153.032,28.1620
b16_c4096,p50_ns,4,20,125,125,125,1.0000,125,1.0000
b16_c4096,p90_ns,4,20,167,166,167,1.0060,167,2.0000
b16_c4096,p99_ns,4,20,458,292,459,1.5719,437,154.3062
b16_c4096,p999_ns,4,20,8395,4083,9459,2.3167,8520,145.2581
b16_c4096,max_ns,4,20,23666,13500,45917,3.4013,26896,102.4146
b16_c4096,mean_ns,4,20,154.133,135.934,176.108,1.2955,152.898,10.5241
b16_c65536,p50_ns,4,20,125,125,125,1.0000,125,1.0000
b16_c65536,p90_ns,4,20,125,125,166,1.3280,125,2.0000
b16_c65536,p99_ns,4,20,645,541,709,1.3105,645,7894.6640
b16_c65536,p999_ns,4,20,7000,4500,7667,1.7038,7021,6177.5051
b16_c65536,max_ns,4,20,26396,18791,43167,2.2972,26895,1446.4372
b16_c65536,mean_ns,4,20,150.659,141.486,166.006,1.1733,151.204,390.5020
b32_c1024,p50_ns,4,20,125,125,125,1.0000,125,1.0000
b32_c1024,p90_ns,4,20,167,166,167,1.0060,167,3.6640
b32_c1024,p99_ns,4,20,729,292,1750,5.9932,708,33.0000
b32_c1024,p999_ns,4,20,11437,6792,19709,2.9018,10895,116.3253
b32_c1024,max_ns,4,20,75750,12000,145250,12.1042,47562,31.1264
b32_c1024,mean_ns,4,20,185.385,142.726,248.012,1.7377,184.933,7.3706
b32_c4096,p50_ns,4,20,125,125,125,1.0000,125,1.0000
b32_c4096,p90_ns,4,20,166,125,167,1.3360,166,1.6640
b32_c4096,p99_ns,4,20,708,250,792,3.1680,687,17.1435
b32_c4096,p999_ns,4,20,20312,8125,30750,3.7846,16770,425.7692
b32_c4096,max_ns,4,20,54833,16458,65292,3.9672,58896,107.3836
b32_c4096,mean_ns,4,20,203.998,152.072,236.468,1.5550,183.928,14.5880
b32_c65536,p50_ns,4,20,125,125,125,1.0000,125,1.0000
b32_c65536,p90_ns,4,20,125,125,583,4.6640,125,6.0000
b32_c65536,p99_ns,4,20,438,250,270583,1082.3320,520,13469.1490
b32_c65536,p999_ns,4,20,7458,4708,1817375,386.0185,8521,19249.8397
b32_c65536,max_ns,4,20,31729,14459,1845333,127.6252,37291,3983.7723
b32_c65536,mean_ns,4,20,143.889,136.537,11945.162,87.4866,149.427,1559.5417
b64_c1024,p50_ns,4,20,30042,28875,31500,1.0909,30896,1.1051
b64_c1024,p90_ns,4,20,31437,30708,69417,2.2606,31624,2.4871
b64_c1024,p99_ns,4,20,71687,64333,93417,1.4521,75500,2.8906
b64_c1024,p999_ns,4,20,103104,89958,124917,1.3886,107792,5.8011
b64_c1024,max_ns,4,20,212437,111416,988250,8.8699,143416,122.5851
b64_c1024,mean_ns,4,20,31215.574,29222.709,38600.238,1.3209,31677.609,1.3908
b64_c4096,p50_ns,4,20,120396,116459,124666,1.0705,123896,1.0965
b64_c4096,p90_ns,4,20,128562,126333,130500,1.0330,127958,2.0540
b64_c4096,p99_ns,4,20,279333,261875,316250,1.2076,287229,3.6609
b64_c4096,p999_ns,4,20,361625,351750,446416,1.2691,367062,4.5720
b64_c4096,max_ns,4,20,489375,411583,633542,1.5393,543375,24.1233
b64_c4096,mean_ns,4,20,126129.735,125380.406,133213.900,1.0625,126453.465,1.2511
b64_c65536,p50_ns,4,20,1952833,1909250,1997792,1.0464,1988916,1.0873
b64_c65536,p90_ns,4,20,2025083,2017250,2128084,1.0549,2036833,1.5356
b64_c65536,p99_ns,4,20,3771208,3564125,3885583,1.0902,3714084,2.0579
b64_c65536,p999_ns,4,20,4055666,3954542,4146167,1.0485,4013438,2.9524
b64_c65536,max_ns,4,20,4088416,3969541,4213584,1.0615,4111250,2.9770
b64_c65536,mean_ns,4,20,2037706.745,2016971.951,2070866.864,1.0267,2024667.035,1.1367
