# Experiment 02 Phase 4 — DERIVED cross-repetition aggregate.
# Each value is the MEDIAN across the measured repetitions of that repetition-level statistic.
# NO distribution is pooled. See scripts/analyze-spsc-tail.py.
cell,session,reps,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,mean_ns,ns_per_message
b16_c1024,1,5,84,28834,52917,60542,81166,6193.267,49.368467
b16_c1024,2,5,125,48042,53125,64292,93542,9399.737,53.462446
b16_c1024,3,5,125,49084,53500,62583,86458,10815.957,50.020275
b16_c1024,4,5,125,25625,53750,64458,625042,8324.266,53.867121
b16_c4096,1,5,125,58666,157166,196417,209791,15278.527,48.872725
b16_c4096,2,5,125,49167,161333,194250,205208,12551.140,49.513221
b16_c4096,3,5,125,60084,174375,204000,401125,17137.508,48.108817
b16_c4096,4,5,125,13208,139459,192208,199542,6883.691,48.658721
b16_c65536,1,5,1952375,2855000,3303000,3432125,3442958,2027491.667,34.037613
b16_c65536,2,5,1811625,2971042,3507167,3686666,3848042,1988615.154,39.329854
b16_c65536,3,5,1789792,2888875,3320333,3398333,3407916,1823972.885,33.456075
b16_c65536,4,5,1858500,3080041,3423334,3478583,3495000,1995453.598,34.953992
b32_c1024,1,5,125,6625,57041,159500,1980084,3313.563,56.229996
b32_c1024,2,5,125,5708,53208,76209,599583,2725.147,58.792292
b32_c1024,3,5,125,333,33792,54667,88458,1347.032,57.775163
b32_c1024,4,5,125,334,42333,62208,85333,1570.541,55.328342
b32_c4096,1,5,33084,213916,239208,257875,374833,73984.860,41.020038
b32_c4096,2,5,48917,221000,243000,253917,262250,74427.878,40.972379
b32_c4096,3,5,10291,211750,237625,255292,266167,60620.073,42.051221
b32_c4096,4,5,6709,219417,243625,258417,270958,60687.361,41.775100
b32_c65536,1,5,1637083,2712000,3487583,3616791,3639583,1560726.133,36.698367
b32_c65536,2,5,1736417,2591584,3509708,3591333,3612625,1710004.767,36.702512
b32_c65536,3,5,1629750,2761500,3457166,3552667,3560250,1471730.721,37.881292
b32_c65536,4,5,1470042,2894833,3523250,3590542,3617375,1577871.744,37.712529
b64_c1024,1,5,125,71125,80542,88500,104166,15853.880,51.892642
b64_c1024,2,5,14458,74292,82125,90292,139583,21560.480,54.757783
b64_c1024,3,5,125,33792,79042,92834,242375,5728.888,54.137442
b64_c1024,4,5,125,22750,77167,83916,96667,5868.387,53.339742
b64_c4096,1,5,133000,301667,327333,349209,367458,157196.011,39.202533
b64_c4096,2,5,141875,313458,336041,355625,382166,179169.991,44.656867
b64_c4096,3,5,141541,312875,333500,379250,579708,165488.711,41.138400
b64_c4096,4,5,143500,314500,336083,354791,389584,173225.797,42.895854
b64_c65536,1,5,2227458,4070500,4965125,5250667,5300375,2610117.738,40.760450
b64_c65536,2,5,2272042,4172500,5024125,5116208,5147667,2653698.769,41.207662
b64_c65536,3,5,2332375,3207833,5071291,5151875,5168209,2494138.813,39.005650
b64_c65536,4,5,2394458,4384291,5171750,5279750,5319750,2817654.072,44.839996
