# Experiment 02 Phase 4 — DERIVED per-repetition tail ratios (median across reps).
cell,session,p99_over_p50,p999_over_p50,max_over_p50
b16_c1024,1,2.6720,31.0000,84.3360
b16_c1024,2,6.6640,84.6640,1186.3360
b16_c1024,3,3.0000,17.3280,449.3360
b16_c1024,4,4.0000,63.3360,815.6640
b16_c4096,1,2.3360,62.0000,108.0000
b16_c4096,2,3.6720,72.3280,254.0000
b16_c4096,3,3.6720,75.6720,367.3360
b16_c4096,4,3.6640,32.6640,124.6640
b16_c65536,1,5.6720,61.3360,345.3360
b16_c65536,2,4.3280,51.0000,244.3360
b16_c65536,3,5.6640,36.0000,150.3280
b16_c65536,4,4.6640,61.0000,178.0000
b32_c1024,1,14.0000,157.6720,1162.0000
b32_c1024,2,6.0000,83.0000,204.3360
b32_c1024,3,2.3360,54.3360,96.0000
b32_c1024,4,5.6640,100.0000,1007.6720
b32_c4096,1,5.6720,246.0000,522.3360
b32_c4096,2,2.0000,65.0000,131.6640
b32_c4096,3,5.6640,107.6640,398.6640
b32_c4096,4,6.3360,217.3360,478.6640
b32_c65536,1,4.6720,55.0000,228.0000
b32_c65536,2,2.0000,64.3360,115.6720
b32_c65536,3,2164.6640,14539.0000,14762.6640
b32_c65536,4,2.3360,37.6640,279.6640
b64_c1024,1,2.2942,3.0976,4.5417
b64_c1024,2,2.2120,3.1509,3.8530
b64_c1024,3,2.9618,3.9605,31.3322
b64_c1024,4,2.4959,3.5380,9.1761
b64_c4096,1,2.3633,3.1758,4.6914
b64_c4096,2,2.3059,3.0204,3.7045
b64_c4096,3,2.5368,3.5809,5.0819
b64_c4096,4,2.1076,2.8337,3.3192
b64_c65536,1,2.0452,2.1707,2.2069
b64_c65536,2,1.8257,2.0907,2.1170
b64_c65536,3,1.9224,1.9767,1.9949
b64_c65536,4,1.8596,2.0789,2.0927
