# Experiment 02 Phase 4 — TIMER CALIBRATION (descriptive only).
# Back-to-back std::chrono::steady_clock::now() pairs, taken OUTSIDE the timed transfer.
# This is NOT subtracted from any measured latency and is NOT a correction factor.
# It measures the timer's own scale, not the queue's cost.
# clock=steady_clock steady=1 ns_per_tick=1
# samples=200000 min_ns=0 mean_ns=13.906 p50_ns=0 p90_ns=42 p99_ns=42 p999_ns=83 max_ns=167
pair_index,pair_cost_ns
0,42
1,41
2,0
3,42
4,42
5,0
6,41
7,0
8,0
9,42
10,0
11,0
12,42
13,0
14,0
15,41
16,0
17,0
18,42
19,0
20,0
21,42
22,0
23,42
24,0
25,0
26,42
27,0
28,0
29,41
30,0
31,0
32,42
33,0
34,0
35,42
36,0
37,0
38,0
39,0
40,42
41,0
42,0
43,41
44,0
45,0
46,42
47,0
48,0
49,42
50,0
51,0
52,41
53,0
54,42
55,0
56,0
57,41
58,0
59,0
60,42
61,0
62,0
63,42
64,0
65,0
66,41
67,0
68,42
69,0
70,0
71,41
72,0
73,0
74,42
75,0
76,0
77,42
78,0
79,0
80,41
81,0
82,0
83,0
84,0
85,41
86,0
87,0
88,42
89,0
90,0
91,42
92,0
93,0
94,41
95,0
96,0
97,42
98,0
99,41
100,0
101,0
102,42
103,0
104,0
105,42
106,0
107,0
108,41
109,0
110,0
111,42
112,0
113,0
114,0
115,0
116,42
117,0
118,0
119,42
120,0
121,0
122,41
123,0
124,0
125,42
126,0
127,0
128,42
129,0
130,0
131,0
132,0
133,42
134,0
135,0
136,41
137,0
138,0
139,42
140,0
141,0
142,42
143,0
144,0
145,41
146,0
147,0
148,0
149,0
150,41
151,0
152,0
153,42
154,0
155,0
156,42
157,0
158,0
159,41
160,0
161,0
162,42
163,0
164,0
165,42
166,0
167,42
168,0
169,0
170,42
171,0
172,0
173,41
174,0
175,0
176,42
177,0
178,0
179,42
180,0
181,0
182,41
183,0
184,42
185,0
186,0
187,41
188,0
189,0
190,42
191,0
192,0
193,42
194,0
195,0
196,41
197,0
198,0
199,42
200,0
201,0
202,0
203,0
204,42
205,0
206,0
207,42
208,0
209,0
210,41
211,0
212,0
213,42
214,0
215,0
216,42
217,0
218,0
219,41
220,0
221,42
222,0
223,0
224,41
225,0
226,0
227,42
228,0
229,0
230,84
231,0
232,42
233,0
234,0
235,41
236,0
237,0
238,42
239,0
240,0
241,42
242,0
243,42
244,0
245,0
246,42
247,0
248,0
249,41
250,0
251,0
252,42
253,0
254,0
255,42
256,0
257,0
258,41
259,0
260,42
261,0
262,0
263,41
264,0
265,0
266,42
267,0
268,0
269,42
270,0
271,0
272,41
273,0
274,0
275,42
