# Experiment 02 Phase 2 — canonical throughput matrix
# DERIVED from the raw per-repetition CSVs in raw/, one row per cell.
# ns_per_message is END-TO-END elapsed_ns / messages delivered: it is NOT a
# per-try_push or per-try_pop latency and NOT a one-way handoff time.
# Each cell is one separate process running exactly one implementation.
# message_count=10000000 measured_reps=5 warmup_reps=1
# UTC: 2026-09-11T06:58:44Z
impl,message_bytes,capacity,message_count,measured_reps,median_ns_per_message,min_ns_per_message,max_ns_per_message,spread_pct,median_messages_per_second,producer_full_retries_total,consumer_empty_retries_total,correctness
mutex,8,1024,10000000,5,65.586542,49.104742,71.933208,46.489,15247030.497,246089556,13667028,PASS
mutex,8,4096,10000000,5,25.189267,22.996762,28.594137,24.340,39699448.654,9845646,11465653,PASS
mutex,8,65536,10000000,5,23.130650,20.776554,23.996075,15.496,43232680.448,5082693,7035180,PASS
mutex,32,1024,10000000,5,41.820996,36.849533,43.462688,17.946,23911434.457,91045476,14986424,PASS
mutex,32,4096,10000000,5,25.450046,24.548562,26.231500,6.856,39292659.979,31099101,2955775,PASS
mutex,32,65536,10000000,5,24.097137,23.212254,26.086771,12.384,41498704.981,30933575,190582,PASS
mutex,64,1024,10000000,5,41.573246,40.486762,48.908187,20.800,24053931.339,48493528,13013898,PASS
mutex,64,4096,10000000,5,26.524771,25.251808,31.025504,22.864,37700608.377,12093192,3418265,PASS
mutex,64,65536,10000000,5,24.659446,22.957783,34.719554,51.232,40552411.601,4233770,915327,PASS
spsc,8,1024,10000000,5,34.661012,16.435787,36.899508,124.507,28850859.449,9930132,256529605,PASS
spsc,8,4096,10000000,5,13.348000,11.964067,16.791287,40.348,74917590.650,822760,61128136,PASS
spsc,8,65536,10000000,5,33.302142,24.912858,34.675542,39.187,30028098.763,1467548,302330855,PASS
spsc,32,1024,10000000,5,30.683454,29.062946,40.749004,40.209,32590854.887,115975,231651162,PASS
spsc,32,4096,10000000,5,31.309000,27.916896,32.604000,16.789,31939697.850,9242,207809171,PASS
spsc,32,65536,10000000,5,44.943137,43.859033,46.959783,7.070,22250337.997,766,266755565,PASS
spsc,64,1024,10000000,5,35.495808,34.008183,37.645592,10.696,28172340.484,176150,217481638,PASS
spsc,64,4096,10000000,5,13.839213,12.738446,14.818083,16.326,72258446.787,3186779,4063232,PASS
spsc,64,65536,10000000,5,13.314446,13.045479,15.164321,16.242,75106392.524,1082210,2088062,PASS
