# Experiment 02 Phase 2 — canonical throughput matrix
# DERIVED from the raw per-repetition CSVs in raw/, one row per cell.
# ns_per_message is END-TO-END elapsed_ns / messages delivered: it is NOT a
# per-try_push or per-try_pop latency and NOT a one-way handoff time.
# Each cell pools the measured repetitions of 3 separate processes,
# each of which ran exactly one implementation.
# message_count=10000000 reps_per_session=5 sessions=3 warmup_reps=1
# UTC: 2026-09-11T07:09:52Z
impl,message_bytes,capacity,message_count,pooled_reps,cell,median_ns_per_message,min_ns_per_message,max_ns_per_message,spread_pct,median_messages_per_second,producer_full_retries_total,consumer_empty_retries_total,correctness
mutex,8,1024,10000000,15,mutex_b8_c1024,54.179187,37.711258,59.434383,57.604,18457272.162,524912765,48807051,PASS
mutex,8,4096,10000000,15,mutex_b8_c4096,24.080171,23.287742,26.653071,14.451,41527944.299,37572810,27721961,PASS
mutex,8,65536,10000000,15,mutex_b8_c65536,21.238917,19.865325,24.482404,23.242,47083380.005,12254430,15504253,PASS
mutex,32,1024,10000000,15,mutex_b32_c1024,40.339529,36.169742,43.951188,21.514,24789580.463,269274661,42258159,PASS
mutex,32,4096,10000000,15,mutex_b32_c4096,25.294542,23.875600,27.566279,15.458,39534220.465,72041196,10681489,PASS
mutex,32,65536,10000000,15,mutex_b32_c65536,22.733117,21.314888,23.669438,11.047,43988688.397,55553217,537006,PASS
mutex,64,1024,10000000,15,mutex_b64_c1024,45.193958,41.009308,53.238158,29.820,22126851.558,156289181,48390411,PASS
mutex,64,4096,10000000,15,mutex_b64_c4096,30.385200,26.167021,32.719554,25.041,32910759.185,53175402,9752273,PASS
mutex,64,65536,10000000,15,mutex_b64_c65536,25.366746,23.646517,30.282442,28.063,39421690.114,13533019,1625617,PASS
spsc,8,1024,10000000,15,spsc_b8_c1024,34.682263,19.186242,41.573608,116.684,28833181.964,55373083,791914646,PASS
spsc,8,4096,10000000,15,spsc_b8_c4096,18.052813,10.302021,39.309242,281.568,55393029.330,38818260,284129159,PASS
spsc,8,65536,10000000,15,spsc_b8_c65536,34.623804,22.569054,40.772254,80.656,28881864.049,20242928,874327351,PASS
spsc,32,1024,10000000,15,spsc_b32_c1024,38.109292,28.570258,43.861658,53.522,26240319.553,4523239,658240565,PASS
spsc,32,4096,10000000,15,spsc_b32_c4096,30.861983,27.939317,35.349767,26.523,32402324.893,191587,610858286,PASS
spsc,32,65536,10000000,15,spsc_b32_c65536,48.372858,44.703142,53.285629,19.199,20672749.995,438425,1207149257,PASS
spsc,64,1024,10000000,15,spsc_b64_c1024,40.324587,36.725538,42.835300,16.636,24798766.073,3772406,643654547,PASS
spsc,64,4096,10000000,15,spsc_b64_c4096,14.130263,12.998429,18.765262,44.366,70770091.116,11459463,2612829,PASS
spsc,64,65536,10000000,15,spsc_b64_c65536,14.926150,13.232088,19.283879,45.736,66996512.832,7053259,2801309,PASS
